time, frequency, confidence, string1_pos, string2_pos, string3_pos, string4_pos
1.000000000000000021e-02,2.108993756253076413e+02,1.687159240245819092e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.000000000000000042e-02,7.146462480176941767e+01,2.456276267766952515e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.999999999999999889e-02,2.525148502549420186e+02,1.142216473817825317e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000083e-02,3.752063430570220959e+01,3.871408849954605103e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
5.000000000000000278e-02,5.549283866977240365e+01,2.782417088747024536e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
5.999999999999999778e-02,6.210075213528685367e+01,2.333655022084712982e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
7.000000000000000666e-02,2.268154029379930989e+02,2.532215416431427002e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
8.000000000000000167e-02,4.419821300485150317e+01,2.123543024063110352e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
8.999999999999999667e-02,2.264148628543360076e+02,2.695218324661254883e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000056e-01,2.281842153138852041e+02,5.408740639686584473e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.100000000000000006e-01,2.261856870007143812e+02,3.819616436958312988e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.199999999999999956e-01,3.784923965209267749e+01,1.048217117786407471e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.300000000000000044e-01,3.780364314833319384e+01,7.650276273488998413e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.400000000000000133e-01,3.623701846246451197e+01,1.685164868831634521e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.499999999999999944e-01,1.769547003983399236e+02,1.310316473245620728e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.600000000000000033e-01,2.487452168494670559e+02,1.174181997776031494e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.700000000000000122e-01,1.470743568791268956e+02,1.475027799606323242e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.799999999999999933e-01,1.667121538919647890e+02,6.925091892480850220e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.900000000000000022e-01,1.858828478399537687e+02,2.884313762187957764e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.000000000000000111e-01,1.848798579748316229e+02,4.064537584781646729e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.099999999999999922e-01,1.878209190365338088e+02,3.993292748928070068e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.200000000000000011e-01,1.880366689538819287e+02,4.301926195621490479e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.300000000000000100e-01,1.845480079970464544e+02,5.287825465202331543e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.399999999999999911e-01,1.822451246723667282e+02,2.486354261636734009e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.500000000000000000e-01,1.899914142719439099e+02,1.976644545793533325e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.600000000000000089e-01,1.913029925947390666e+02,4.054929614067077637e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.700000000000000178e-01,1.856528722971318928e+02,3.450974524021148682e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.800000000000000266e-01,1.736655857630143487e+02,3.008813858032226562e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.899999999999999800e-01,1.674437202979194410e+02,2.891946136951446533e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
2.999999999999999889e-01,1.642455437226973345e+02,2.539501488208770752e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
3.099999999999999978e-01,2.496153778013238593e+02,1.276708543300628662e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
3.200000000000000067e-01,1.629152785332853455e+02,9.130201488733291626e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
